,email_id,relevance
93,presto-k\sent_items\826_,57
94,lenhart-m\sent_items\267_,57
95,sanders-r\all_documents\1245_,57
96,kean-s\all_documents\5003_,57
97,mann-k\all_documents\2347_,57
98,delainey-d\all_documents\843_,57
99,kean-s\all_documents\6435_,57
100,shapiro-r\2002_budget\15_,57
101,lenhart-m\all_documents\108_,57
102,rodrique-r\all_documents\388_,57
103,taylor-m\deleted_items\417_,57
104,lokey-t\calendar\24_,57
105,kaminski-v\all_documents\2573_,57
106,kean-s\enron_advisonry_council\50_,57
107,rodrique-r\all_documents\260_,57
108,dasovich-j\all_documents\8682_,57
109,bass-e\all_documents\211_,57
110,sager-e\all_documents\469_,57
111,dasovich-j\all_documents\11696_,57
112,mann-k\all_documents\4415_,57
113,geaccone-t\_sent_mail\47_,57
114,dasovich-j\all_documents\9964_,57
115,shapiro-r\nerc\65_,57
116,kean-s\pr_crisis_management\22_,57
117,kean-s\sent_items\11_,57
118,lenhart-m\all_documents\572_,57
119,dasovich-j\all_documents\27985_,57
120,solberg-g\sent_items\50_,56
121,kean-s\all_documents\2322_,56
122,love-p\all_documents\1052_,56
123,baughman-d\inbox\110_,56
124,germany-c\sent_items\278_,56
125,sanders-r\all_documents\1178_,56
126,mann-k\all_documents\5194_,56
127,steffes-j\sent_items\1260_,56
128,lewis-a\deleted_items\1392_,56
129,delainey-d\all_documents\871_,56
130,smith-m\inbox\502_,56
131,dasovich-j\all_documents\8990_,56
132,kitchen-l\_americas\regulatory\2_,56
133,dasovich-j\all_documents\8945_,56
134,forney-j\inbox\156_,56
135,campbell-l\all_documents\1208_,56
136,dasovich-j\sent_items\762_,56
137,dasovich-j\deleted_items\665_,56
138,scott-s\all_documents\934_,56
139,kaminski-v\deleted_items\405_,56
140,sager-e\all_documents\466_,56
141,giron-d\inbox\397_,56
142,nemec-g\all_documents\4722_,56
143,shapiro-r\notre_dame\39_,56
144,hyatt-k\tw\capacity_marketing\25_,56
145,sager-e\all_documents\270_,56
146,keiser-k\sent_items\256_,56
147,geaccone-t\gpg\8_,56
148,shapiro-r\all_documents\554_,56
149,dasovich-j\all_documents\4331_,56
150,mann-k\all_documents\5180_,56
151,hain-m\all_documents\997_,56
152,geaccone-t\_sent_mail\39_,56
153,holst-k\deleted_items\57_,56
154,dasovich-j\all_documents\12879_,56
155,ward-k\all_documents\114_,56
156,mims-thurston-p\inbox\354_,56
157,mims-thurston-p\sent_items\24_,56
158,mims-thurston-p\all_documents\7_,56
159,mann-k\all_documents\2315_,56
160,shapiro-r\all_documents\1727_,56
161,kaminski-v\resumes\42_,56
162,kaminski-v\all_documents\494_,56
163,whalley-g\sent_items\79_,56
164,geaccone-t\_sent_mail\24_,56
165,dasovich-j\all_documents\10709_,56
166,blair-l\deleted_items\478_,56
167,mann-k\deleted_items\98_,56
168,dasovich-j\all_documents\12516_,56
169,lenhart-m\sent_items\529_,56
170,dasovich-j\all_documents\8264_,56
171,nemec-g\all_documents\5972_,56
172,lokey-t\_sent_mail\9_,56
173,dasovich-j\all_documents\12067_,56
174,geaccone-t\_sent_mail\183_,56
175,dasovich-j\all_documents\8578_,56
176,shankman-j\inbox\112_,56
177,mann-k\all_documents\5244_,56
178,dasovich-j\all_documents\10784_,56
179,love-p\all_documents\780_,56
180,fossum-d\_sent_mail\1304_,56
181,fossum-d\all_documents\1690_,56
182,schoolcraft-d\deleted_items\351_,56
183,skilling-j\sent_items\13_,56
184,mann-k\all_documents\5231_,56
185,shackleton-s\all_documents\8939_,56
186,baughman-d\deleted_items\265_,56
187,lenhart-m\all_documents\564_,56
188,kean-s\all_documents\6488_,56
189,sager-e\sent_items\298_,56
190,dasovich-j\all_documents\12982_,56
191,smith-m\sent_items\313_,56
192,kean-s\all_documents\5963_,56
193,neal-s\all_documents\284_,56
194,ring-r\eesidealsgsaregion1\29_,56
195,shackleton-s\sent_items\229_,56
196,pereira-s\sent_items\25_,56
197,beck-s\sent_items\474_,56
198,baughman-d\sent_items\66_,56
199,taylor-m\deleted_items\566_,56
200,tholt-j\all_documents\269_,56
201,dasovich-j\all_documents\12134_,56
202,beck-s\all_documents\201_,56
203,platter-p\sent_items\47_,56
204,dasovich-j\all_documents\27722_,56
205,kaminski-v\sent_items\925_,56
206,dasovich-j\all_documents\10991_,56
207,sager-e\all_documents\367_,56
208,rapp-b\sent_items\117_,56
209,kean-s\all_documents\5951_,56
210,symes-k\all_documents\1838_,56
211,blair-l\inbox\7_,56
212,weldon-c\deleted_items\107_,56
213,hayslett-r\projects\project_fremont\1_,56
214,allen-p\all_documents\569_,56
215,taylor-m\all_documents\4036_,56
216,mann-k\all_documents\2968_,56
217,nemec-g\all_documents\4804_,56
218,steffes-j\sent_items\2323_,56
219,symes-k\all_documents\3506_,56
220,kaminski-v\resumes\35_,56
221,kaminski-v\all_documents\429_,56
222,dasovich-j\all_documents\4166_,56
223,fossum-d\all_documents\1618_,56
224,dasovich-j\all_documents\9876_,56
225,white-s\sent_items\127_,56
226,dasovich-j\all_documents\10505_,56
227,blair-l\sent_items\699_,56
228,lewis-a\deleted_items\1293_,56
229,haedicke-m\inbox\551_,56
230,mann-k\all_documents\4718_,56
231,mclaughlin-e\all_documents\1020_,56
232,mcconnell-m\deleted_items\37_,56
233,nemec-g\all_documents\5040_,56
234,williams-j\all_documents\73_,56
235,zipper-a\sent_items\177_,56
236,symes-k\all_documents\2158_,56
237,dasovich-j\sent_items\878_,56
238,dasovich-j\all_documents\28391_,56
239,dasovich-j\all_documents\11607_,56
240,neal-s\all_documents\59_,56
241,mann-k\all_documents\4893_,55
242,dasovich-j\all_documents\11994_,55
243,germany-c\all_documents\209_,55
244,stokley-c\chris_stokley\volume_mang_\31_,55
245,steffes-j\inbox\269_,55
246,cash-m\inbox\115_,55
247,love-p\sent_items\472_,55
248,steffes-j\sent_items\30_,55
249,arnold-j\all_documents\1008_,55
250,dasovich-j\all_documents\10526_,55
251,dasovich-j\all_documents\11365_,55
252,kaminski-v\deleted_items\2101_,55
253,symes-k\all_documents\1115_,55
254,salisbury-h\read\10_,55
255,sager-e\all_documents\845_,55
256,dasovich-j\sent_items\886_,55
257,dasovich-j\all_documents\28410_,55
258,mann-k\all_documents\2313_,55
259,watson-k\sent_items\981_,55
260,lenhart-m\all_documents\746_,55
261,mann-k\policy_manual_and_united_way\5_,55
262,mann-k\all_documents\6023_,55
263,corman-s\sent_items\322_,55
264,dasovich-j\all_documents\28743_,55
265,symes-k\all_documents\2875_,55
266,steffes-j\sent_items\1324_,55
267,lewis-a\deleted_items\1233_,55
268,williams-w3\sent_items\108_,55
269,weldon-c\sent_items\39_,55
270,crandell-s\sent_items\78_,55
271,mcconnell-m\all_documents\277_,55
272,dasovich-j\all_documents\8057_,55
273,dasovich-j\all_documents\9341_,55
274,shapiro-r\deleted_items\373_,55
275,symes-k\all_documents\2090_,55
276,kuykendall-t\all_documents\142_,55
277,lucci-p\sent_items\255_,55
278,lokey-t\inbox\735_,55
279,mann-k\all_documents\5836_,55
280,mcconnell-m\all_documents\160_,55
281,jones-t\all_documents\10789_,55
282,griffith-j\all_documents\611_,55
283,giron-d\deleted_items\12_,55
284,kean-s\deleted_items\343_,55
285,nemec-g\sent_items\293_,55
286,nemec-g\all_documents\6208_,55
287,griffith-j\all_documents\518_,55
288,allen-p\all_documents\551_,55
289,symes-k\all_documents\1182_,55
290,dasovich-j\all_documents\10094_,55
291,beck-s\all_documents\3265_,55
292,dasovich-j\all_documents\4172_,55
293,nemec-g\all_documents\2173_,55
294,kean-s\all_documents\6532_,55
295,lenhart-m\sent_items\66_,55
296,kaminski-v\deleted_items\854_,55
297,campbell-l\sent_items\126_,55
298,mann-k\all_documents\3829_,55
299,dasovich-j\all_documents\8987_,55
300,dasovich-j\all_documents\9125_,55
301,fossum-d\_sent_mail\1362_,55
302,mann-k\all_documents\5713_,55
303,geaccone-t\_sent_mail\167_,55
304,dasovich-j\all_documents\9624_,55
305,kuykendall-t\all_documents\106_,55
306,shapiro-r\deleted_items\896_,55
307,cash-m\all_documents\122_,55
308,nemec-g\sent_items\468_,55
309,delainey-d\all_documents\847_,55
310,dasovich-j\all_documents\8215_,55
311,lewis-a\deleted_items\1420_,55
312,dasovich-j\all_documents\9983_,55
313,ward-k\sent_items\642_,55
314,cash-m\sent_items\452_,55
315,kaminski-v\deleted_items\2285_,55
316,mann-k\all_documents\2766_,55
317,dasovich-j\all_documents\8074_,55
318,arnold-j\all_documents\1015_,55
319,dickson-s\all_documents\28_,55
320,sager-e\all_documents\366_,55
321,love-p\central\83_,55
322,giron-d\all_documents\16_,55
323,sanders-r\calendar\14_,55
324,symes-k\all_documents\2801_,55
325,baughman-d\inbox\131_,55
326,presto-k\sent_items\724_,55
327,steffes-j\rto\71_,55
328,kean-s\all_documents\5960_,55
329,kitchen-l\_americas\regulatory\3_,55
330,lenhart-m\all_documents\158_,55
331,zufferli-j\calendar\7_,55
332,neal-s\sent_items\110_,55
333,neal-s\all_documents\126_,55
334,kitchen-l\_americas\tech_services\9_,55
335,dorland-c\sent_items\575_,55
336,gay-r\all_documents\147_,55
337,mcconnell-m\misc\102_,55
338,ring-a\sent_items\51_,55
339,nemec-g\sent_items\292_,55
340,nemec-g\all_documents\6202_,55
341,nemec-g\all_documents\5730_,55
342,lenhart-m\all_documents\874_,55
343,dasovich-j\all_documents\8577_,55
